epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,3190.35,1.1074,0.65712,0.83898,0.74775,0.69761,0.73906,0.39005,1.38789,0.79048,0.90626,0.005347,0.005347,0.005347
143,3213.19,1.08117,0.63985,0.83086,0.76843,0.74824,0.7784,0.41065,1.37468,0.75662,0.90551,0.005314,0.005314,0.005314
144,3235.81,1.08019,0.64568,0.83923,0.71071,0.75672,0.7572,0.40167,1.37744,0.77399,0.90405,0.005281,0.005281,0.005281
145,3258.08,1.0995,0.63613,0.84088,0.78551,0.72855,0.78309,0.42931,1.34166,0.75605,0.8998,0.005248,0.005248,0.005248
146,3281.08,1.05675,0.63125,0.83857,0.76777,0.75527,0.77852,0.4257,1.32062,0.76722,0.89671,0.005215,0.005215,0.005215
147,3303.74,1.08869,0.65222,0.83575,0.75799,0.7709,0.78521,0.42363,1.34287,0.73367,0.89989,0.005182,0.005182,0.005182
148,3325.68,1.07683,0.63632,0.84488,0.78926,0.70058,0.75982,0.3995,1.36878,0.77225,0.8973,0.005149,0.005149,0.005149
149,3348.04,1.06676,0.62859,0.83732,0.76219,0.75809,0.78752,0.42701,1.33042,0.74905,0.89636,0.005116,0.005116,0.005116
150,3370.82,1.05089,0.62039,0.83654,0.80064,0.77356,0.81005,0.44724,1.30319,0.73394,0.89169,0.005083,0.005083,0.005083
151,3393.73,1.03889,0.62411,0.8352,0.77006,0.79132,0.7965,0.44816,1.29899,0.71951,0.89138,0.00505,0.00505,0.00505
152,3416.1,1.05635,0.62801,0.82804,0.77433,0.79887,0.80543,0.43882,1.3446,0.73463,0.90231,0.005017,0.005017,0.005017
153,3438.97,1.04753,0.62104,0.82963,0.77692,0.79841,0.81251,0.44205,1.32202,0.72593,0.90277,0.004984,0.004984,0.004984
154,3461.41,1.01004,0.60234,0.8291,0.80756,0.76725,0.80256,0.44558,1.2643,0.71053,0.88646,0.004951,0.004951,0.004951
155,3483.77,1.03265,0.60593,0.8259,0.80158,0.8045,0.82116,0.46099,1.23439,0.70838,0.87451,0.004918,0.004918,0.004918
156,3505.93,1.03186,0.60477,0.8305,0.78051,0.81013,0.81172,0.46195,1.28469,0.71507,0.88488,0.004885,0.004885,0.004885
157,3528.05,1.04215,0.6208,0.82848,0.79759,0.77356,0.8019,0.45422,1.26191,0.71275,0.88413,0.004852,0.004852,0.004852
158,3550.87,1.03027,0.6009,0.83383,0.78511,0.77081,0.79539,0.44043,1.28803,0.70565,0.89221,0.004819,0.004819,0.004819
159,3573.14,1.00914,0.59396,0.82425,0.75545,0.77637,0.7786,0.42766,1.3139,0.74496,0.89689,0.004786,0.004786,0.004786
160,3595.23,0.98612,0.58248,0.82719,0.76421,0.77637,0.79256,0.43456,1.28896,0.71952,0.89123,0.004753,0.004753,0.004753
161,3617.61,1.00248,0.57991,0.83432,0.75714,0.7834,0.79887,0.44284,1.31282,0.71181,0.89439,0.00472,0.00472,0.00472
162,3640.08,1.00165,0.59771,0.82493,0.78117,0.7732,0.80063,0.43757,1.28883,0.69807,0.88584,0.004687,0.004687,0.004687
163,3662.33,0.99838,0.59275,0.83138,0.76636,0.79887,0.80135,0.4417,1.29883,0.72446,0.89106,0.004654,0.004654,0.004654
164,3684.52,0.99251,0.58981,0.82469,0.80353,0.79044,0.81267,0.45708,1.26286,0.72278,0.87812,0.004621,0.004621,0.004621
165,3706.94,0.99483,0.58293,0.82746,0.81846,0.782,0.81566,0.46023,1.28428,0.70227,0.88938,0.004588,0.004588,0.004588
166,3728.9,0.99528,0.5782,0.82125,0.81092,0.80224,0.82024,0.46566,1.24912,0.68074,0.88165,0.004555,0.004555,0.004555
167,3751.09,0.97184,0.57679,0.82786,0.79893,0.8045,0.81623,0.45425,1.27457,0.71395,0.88796,0.004522,0.004522,0.004522
168,3773.15,0.96472,0.56364,0.82616,0.78868,0.80872,0.81117,0.45346,1.27208,0.69863,0.8894,0.004489,0.004489,0.004489
169,3795.67,0.97725,0.56369,0.82969,0.80967,0.8077,0.8222,0.47303,1.2437,0.67695,0.89232,0.004456,0.004456,0.004456
170,3818.58,0.97061,0.56272,0.82896,0.77032,0.81133,0.82631,0.47265,1.23071,0.67716,0.88343,0.004423,0.004423,0.004423
171,3840.85,0.95482,0.55789,0.81938,0.76157,0.80169,0.79859,0.45546,1.23104,0.69645,0.87823,0.00439,0.00439,0.00439
172,3863.56,0.96528,0.57643,0.82216,0.77505,0.80028,0.80335,0.45895,1.21825,0.69023,0.87983,0.004357,0.004357,0.004357
173,3886.54,0.97129,0.56454,0.82419,0.79875,0.77215,0.807,0.45993,1.24578,0.69887,0.88812,0.004324,0.004324,0.004324
174,3909.04,0.95711,0.5688,0.82248,0.76427,0.79345,0.81471,0.46594,1.26536,0.69197,0.89134,0.004291,0.004291,0.004291
175,3931.43,0.91248,0.53856,0.81766,0.75461,0.80309,0.80648,0.46506,1.24964,0.6957,0.88964,0.004258,0.004258,0.004258
176,3953.48,0.93468,0.54818,0.8219,0.77475,0.81754,0.81773,0.4693,1.2184,0.68349,0.88503,0.004225,0.004225,0.004225
177,3975.58,0.94707,0.55379,0.82534,0.76023,0.78934,0.79748,0.45451,1.24556,0.70779,0.89196,0.004192,0.004192,0.004192
178,3997.67,0.94085,0.54182,0.83066,0.77502,0.79887,0.80405,0.47481,1.20641,0.68313,0.88097,0.004159,0.004159,0.004159
179,4019.82,0.9398,0.53948,0.82784,0.78063,0.81078,0.81004,0.46363,1.2031,0.68627,0.88328,0.004126,0.004126,0.004126
180,4041.98,0.95425,0.55594,0.82477,0.79883,0.827,0.82967,0.48149,1.18442,0.66826,0.87943,0.004093,0.004093,0.004093
181,4064.45,0.93064,0.54051,0.8225,0.7868,0.80973,0.81436,0.48056,1.19866,0.67633,0.88063,0.00406,0.00406,0.00406
182,4087.46,0.9295,0.53599,0.82568,0.7757,0.8415,0.82585,0.47523,1.19605,0.68163,0.88293,0.004027,0.004027,0.004027
183,4109.69,0.92506,0.53649,0.82015,0.79622,0.7834,0.81494,0.47365,1.19654,0.6973,0.88555,0.003994,0.003994,0.003994
184,4132.42,0.91441,0.53867,0.81831,0.78075,0.81153,0.81268,0.46554,1.24241,0.68571,0.89031,0.003961,0.003961,0.003961
